name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Aldemari Casinen. deinde	207	24/März	14/Februar$4/Juli	ca. 1070	[Monte Casino] A. S. (D, auch  Juli 4 ) .	Aldobrandesce$Adelmari	abbatis$monachi	
Alderici Cenomanen	208	7/Januar	14/Februar	NA	NA	Aldobrandesce	episcopi,episcoporum	
Alderici subulci	209	6/Februar	14/Februar	ca. 1200	[Köln] A. S.	Aldobrandesce	NA	
Alderici Senonen	210	6/Juni	14/Februar	NA	NA	Aldobrandesce	episcopi,episcoporum	
Alderici Eduen	211	15/Juni	14/Februar	NA	NA	Aldobrandesce	episcopi,episcoporum	
Aldetrudis Malbodien	212	25/Februar	14/Februar	NA	NA	Aldobrandesce	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Aldi	213	10/Januar	NA	NA	NA	NA	confessoris$eremite	
Aldobrandi Foro - Sempronien	214	1/Mai	NA	ca. 1285	[Fossombrone, Patron] A. S.	NA	episcopi,episcoporum	
Aldobrandi (Aldovrandi) Balneoregien	215	22/August	NA	NA	NA	NA	episcopi,episcoporum	
Aleidis ord. Cisterc	216	11/Juni	NA	1250		NA	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Alene	217	17/Juni	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Alethii (Alithii) Cadurcen	218	11/Juli	14/Februar	NA	NA	Alithii	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Alexandri , Eventii et Theodoli	219	3/Mai	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	pape$martiris,martirum	
Alexandri	220	9/Februar	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	martiris,martirum$episcopi,episcoporum	
Alexandri et Gaii	221	10/März	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	martiris,martirum	
Alexandri Jerus	222	18/März	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	episcopi,episcoporum$confessoris	
Alexandri (2)	223	24/April	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	martiris,martirum$sociorum,sociis	
Alexandri, filii Felicitatis (einer der 7 Brüder)	224	10/Juli	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	NA	
Alexandri (3)	225	26/August	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	martiris,martirum	
Alexandri Firmani	226	11/Januar	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	episcopi,episcoporum	
Alexandri subdiac	227	4/Februar	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	NA	
Alexandri , Theophili	228	17/März	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	diaconi$martiris,martirum$episcopi,episcoporum$sociorum,sociis	
Alexandri, Firmiani, Primiani	229	28/April	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	martiris,martirum	
Alexandri Vincioli Nucerini ex ord. Francisci	230	3/Mai	14/Februar	1363	[Nocera] A. S.	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	episcopi,episcoporum$sancti,sancte$beati,beate	
Alexandri (4)	231	13/Mai	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	martiris,martirum	
Alexandri et Galle	232	31/Mai	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri$Galle v.	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
