name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Sophie (3)	3808	23/September	14/Februar	NA	NA	Cadoci m.	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Sori	3809	1/Februar	NA	NA	NA	NA	confessoris$eremite	
Sororum et fratrum anniversarium	3810	10/October	NA	NA	NA	NA	NA	
Sosii	3811	23/September	NA	NA	NA	NA	diaconi$martiris,martirum	
Sothee	3812	1/April	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Sotheris	3813	22/April	NA	NA	NA	NA	pape$confessoris	
Sotheris (2)	3814	10/Februar	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Breslau (auch	3815	10/Februar	NA	NA	NA	NA	NA	
Spacii	3816	10/November	NA	NA	NA	NA	martiris,martirum	
Spani (Hispadii) (fratrum)	3817	25/October	14/Februar	NA	NA	Hispadi	martiris,martirum$sociorum,sociis	
Speciose	3818	15/October	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Speciose (2)	3819	18/Juni	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Speciosi ord. Ben	3820	15/März	NA	NA	NA	NA	monachi$sancti,sancte	
Spei abbatis	3821	13/September	NA	NA	NA	NA	NA	
Spei Spoletani	3822	23/November	14/Februar	NA	NA	Sophie, v. m.	episcopi,episcoporum	
Speosippi (Speusippi), Eleosippi, Meleosippi (Geminorum )	3823	17/Januar	NA	NA	NA	NA	martiris,martirum	
Sperandie abbatisse ord. Ben	3824	11/September	NA	1276	[Cingoli] A.S.	NA	sancti,sancte	
Sperandii ord. Ben	3825	15/Januar	NA	NA	NA	NA	confessoris$sancti,sancte	
Sperati (Scillitanorum )	3826	17/Juli	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Spinuli prioris S. Basilii	3827	1/August	NA	NA	NA	NA	confessoris	
Spiritus sancti adventus	3828	15/Mai	NA	NA	NA	NA	NA	
Stabilis (Stabli) Claromontani	3829	1/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Stactei (Stractei)	3830	28/September	14/Februar	NA	NA	Stractei	martiris,martirum	
Stanislai Cracovien	3831	8/Mai	7/Mai$11/April$27/September$6/October	1079, can. 1253	*Breslau, Ermland, *Gnesen (mit 8a), *Krakau (canonisatio mit 8a), Lebus, Olmütz, Prag. - Agram, *Fünfkirchen, *Gran. - Deutsch-Orden, Kreuzherren, Pauliner. Seit Clemens VIII. auf  Mai 7  verschoben.$Translatio (1254)  September 27 :  *Breslau, Gnesen, *Krakau, Lebus. - Kreuzherren.$(Transl.)  October 6 :  Gran.$Occisio  Apr. 11 :  Krakau.	NA	martiris,martirum$episcopi,episcoporum	
Stanislai de Oporovo	3832	22/April	NA	1524	[Krakau] D.	NA	NA	
Stanislai Poloni can. regul. Lateranen. Casimirie	3833	3/Mai	NA	1489	[Krakau] A.S. |172|	NA	beati,beate	
Stanislai Kostka	3834	15/August	13/November	1568	November 13 :  [Jesuiten] R.D., M.	NA	confessoris	
Stapini Carcassonen	3835	6/August	14/Februar	NA	NA	Stactei	martiris,martirum$episcopi,episcoporum	
Stephane de Quinzanis ord. Dominici	3836	16/Januar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte$beati,beate	
Stephanie	3837	18/September	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Stephani	3838	26/December	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	protomartiris	
Stephani regis Ungarie	3839	20/August	15/August$15/August$27/August$19/August$21/August$30/Mai$14/Februar	1038	August 15 ):  Bamberg, Breslau, Gnesen, Krakau, Prag. - *Agram, *Fünfkirchen, *Gran (alle drei mit memoria de s. Steph.  August 15  und 8a am 27. August). - *Domini ultramontani, *Pauliner (mit 8a  August 27 ) .$August 19 :  Brixen.$August 21 :  Lebus, Olmütz.$Jetzt ist (seit 1687) das Fest auf den 2. September verlegt. ||Inventio dextre  Mai 30 :  Agram, Gran. - Domini ultramontani.	Marini et Stephani$Socratis et Stephani m.	confessoris	
Stephani Lugdunen	3840	13/Februar	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	episcopi,episcoporum$confessoris	
Stephani Apten	3841	6/November	14/Februar$20/November	1046	Apt.$November 20 :  [Tours].	Marini et Stephani$Socratis et Stephani m.	episcopi,episcoporum$confessoris$beati,beate	
Stephani Bituricen	3842	13/Januar	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	episcopi,episcoporum	
Stephani fundatoris ordinis Grandimonten	3843	8/Februar	14/Februar	1124	[Limoges, Muret, Grammont] A.S.	Marini et Stephani$Socratis et Stephani m.	diaconi$confessoris	
Stephani Obazinen. ord. Cisterc	3844	8/März	14/Februar$27/April	1259	[Tulle] A.S., D.$Apr. 27 :  [Limoges] D.	Marini et Stephani$Socratis et Stephani m.	abbatis$beati,beate	
Stephani card. Penestrini	3845	17/März	14/Februar	1144	[Palestrina] G.	Marini et Stephani$Socratis et Stephani m.	episcopi,episcoporum	
Stephani (IX.)	3846	29/März	14/Februar	1058	[Pisa] D.	Marini et Stephani$Socratis et Stephani m.	pape	
Stephani de Mercorio Case Dei	3847	29/März	14/Februar	ca. 1146	[Clermont] D.	Marini et Stephani$Socratis et Stephani m.	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Stephani (Hardingi) Cistercien	3848	17/April	28/März$14/Februar	1134	[Cistercienser] A.S. (D. daneben  März 28 ) .	Marini et Stephani$Socratis et Stephani m.	abbatis	
Stephani inquisitoris	3849	29/Mai	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	NA	
Stephani Helsingorum	3850	2/Juni	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	martiris,martirum$episcopi,episcoporum	
Stephani Regien	3851	5/Juli	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	episcopi,episcoporum	
Stephani, Leontii	3852	11/Juli	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	martiris,martirum$sociorum,sociis	
Stephani Caradignen	3853	6/August	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	abbatis$martiris,martirum	
Stephani (de Castellione) Dien	3854	7/September	14/Februar	1208	[Die] A.S.	Marini et Stephani$Socratis et Stephani m.	episcopi,episcoporum	
Stephani (2)	3855	25/October	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	confessoris	
Stephani Agazzari canonici regul	3856	28/October	14/Februar	1433	[Bologna] A.S.	Marini et Stephani$Socratis et Stephani m.	beati,beate	
Stephani Calatini	3857	29/October	14/Februar	1024	[Cajazzo] A.S.	Marini et Stephani$Socratis et Stephani m.	episcopi,episcoporum	
Stephani (3)	3858	31/December	14/Februar	NA	NA	Marini et Stephani$Socratis et Stephani m.	martiris,martirum$sociorum,sociis	
Stille ord. August, (saec. XII.)	3859	19/Juli	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte$beati,beate	
Stolbrandi et Gaji	3860	4/März	NA	NA	NA	NA	martiris,martirum	
Sturmi Fulden. (can. 1139)	3861	17/December	NA	NA	NA	NA	abbatis	
Successi	3862	8/December	NA	NA	NA	NA	episcopi,episcoporum	
Suederi Monasterien	3863	19/November	NA	1011	[Münster] D., G.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Sulini (Sulivi, Suliaci)	3864	8/November	NA	NA	NA	NA	abbatis	
Sulpicii (Suplicii) (Pii) Bituricen	3865	17/Januar	14/Februar	NA	NA	Suplicii, Supplicii	episcopi,episcoporum$confessoris	
Sulpicii (Severi) Bituricen	3866	29/Januar	14/Februar	NA	NA	Suplicii, Supplicii	episcopi,episcoporum	
Sulpicii (Simplicii, Suplicii) et Serviliani	3867	3/October	14/Februar	NA	NA	Suplicii, Supplicii	martiris,martirum	
Sulpicii (Supplicii) Trajecten, ad Mosam	3868	18/Januar	14/Februar	NA	NA	Suplicii, Supplicii	episcopi,episcoporum	
Sulpicii Bajocen	3869	27/Januar	14/Februar	NA	NA	Suplicii, Supplicii	episcopi,episcoporum	
Sulpicii, Bonifacii, Castorini et Michaelis Tricastin	3870	24/December	14/Februar	NA	NA	Castorini$Suplicii, Supplicii	episcopi,episcoporum	
Sumberge religiose translatio (1483)	3871	16/März	NA	NA	NA	NA	NA	
Sunderoldi (Sunzonis) Moguntini	3872	26/Juni	14/Februar	NA	NA	Sunzonis	episcopi,episcoporum	
Sunnive (sanctornm in Selio; Seljumannorum)	3873	8/Juli	14/Februar	NA	NA	Selio, sanctorum in (Seljumannorum)$Sanctorum in Selio	virginis,virginum_or_(vor_Namen)_venerabilis$sociorum,sociis	
Surani	3874	24/Januar	NA	NA	NA	NA	abbatis	
Sure (Zuwarde, Soteridis)	3875	10/Februar	14/Februar	NA	NA	Soteridis$Zuwarde	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Susanne	3876	11/August	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Susanne de Babylonia	3877	25/Januar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Sviberti Verden	3878	1/März	14/Februar	NA	NA	Suiberti	episcopi,episcoporum	
Svithuni Wintonien. (depositio)	3879	2/Juli	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Tadeci Landevenecen	3880	2/December	NA	NA	NA	NA	abbatis	
Talaricani Sodoren	3881	30/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Thalasii	3882	30/October	NA	NA	NA	NA	episcopi,episcoporum	
Tammari	3883	16/Januar	NA	NA	NA	NA	NA	
Tammari Beneventani	3884	15/October	NA	NA	NA	NA	episcopi,episcoporum	
Tanche	3885	10/October	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Tanconis Verden	3886	16/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Tanneguidi	3887	12/März	NA	NA	NA	NA	abbatis	
Tharaci (Traci), Probi et Andronici	3888	11/October	NA	NA	NA	NA	martiris,martirum	
Tarasie et Sancie regis Sancii filiarum ord. Cisterc	3889	17/Juni	15/Juli$3/September$14/Februar$13/März	1229 u. 1250	[Coimbra] A.S.$v. Sancie allein  März 13 :  [Coimbra] D.$b. Theresie allein  Juli 15 :  [Valencia] D. b. Tarasie (+ 1266)  September 3 :  [Lissabon, Ourem] A.S.	Sancie v.$Theresie (Juli 15)	virginis,virginum_or_(vor_Namen)_venerabilis$vidue	
Tharatte	3890	11/August	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Tarjeci	3891	20/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Tarlati ord. serv. Marie	3892	15/Mai	NA	NA	NA	NA	monachi$beati,beate	
Tarsicie	3893	15/Januar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$solitarii	
Tharsicii acolyti	3894	15/August	NA	NA	NA	NA	martiris,martirum	
Tharsille	3895	24/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Tasonis Vincentii	3896	11/Januar	NA	NA	NA	NA	abbatis$monachi$sancti,sancte	
Tassilonis ducis Bavarie	3897	13/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Tate	3898	8/September	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Tatiane (Daciane)	3899	12/Januar	14/Februar	NA	NA	Taciane$Datiane$Daciane	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Tatiani (Datiani, Taciani, Daciani)	3900	16/Januar	14/Februar	NA	NA	Datiani$Taciani	martiris,martirum$sociorum,sociis	
Tatiani et Aretii	3901	4/Juni	14/Februar	NA	NA	Datiani$Taciani	martiris,martirum	
Tatonis Vincentii	3902	11/December	NA	NA	NA	NA	abbatis$sancti,sancte	
Tatvini	3903	3/Juli	NA	NA	NA	NA	solitarii	
Tatvini Cantuaren	3904	30/Juli	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Thaumasti	3905	1/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Taurete	3906	1/Mai	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Taurini Ebroicen	3907	11/August	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Taurini	3908	5/September	NA	NA	NA	NA	martiris,martirum	
Tecelini (Tezelini) Sauri (saec. XII.)	3909	11/April	14/Februar	NA	NA	v. Tezelini	virginis,virginum_or_(vor_Namen)_venerabilis$monachi	
Tecle (Thecle) (non )	3910	23/September	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Tecle	3911	1/Juni	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Tecle (2)	3912	17/November	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Thecle et Justine	3913	10/Januar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Thecle Kitzingen	3914	15/October	14/Februar	NA	NA	Eufemie, Dorothee, Th. et Erasme	abbatis	
Thegoneti	3915	6/September	NA	NA	NA	NA	NA	
Teguli	3916	25/October	NA	NA	NA	NA	martiris,martirum	
Telesphori	3917	5/Januar	NA	NA	NA	NA	pape$martiris,martirum	
Teliai (Teliavi, Eliud) Landaven	3918	9/Februar	14/Februar	NA	NA	Eliud	episcopi,episcoporum	
Tenestine	3919	26/August	NA	NA	NA	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Theneve (Thenne) matrone, matris Kentigerni	3920	18/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Theobaldi	3921	30/Juni	2/Juli$3/Juli$1/Juli$1/Juli$3/Juli$1/Juli$3/Juli	1066	Juli 1 :  Basel (ep.), Hamburg (ep.), Konstanz (ep.; auch  Juli 3 ) , Mainz, Metz, Strassburg (ep.), Toul, Trient, Trier (auch m.). - Autun, Bourges (gefeiert am 3. Juli). - Exeter. - [Vicenza] D. - *Camaldulenser.$Juli 2 :  Amiens (cf. non ep.).$Juli 3 :  Chur (ep.), Konstanz (ep.; auch  Juli 1 ) , Lübeck. - Bourges (von  Juli 1 ) .$Translatio  Juli 3 :  (Vicenza) D.	NA	martiris,martirum$episcopi,episcoporum$confessoris$eremite	
Theobaldi (Ubaldi Eugubini)	3922	16/Mai	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Theobaldi (Marginuliacen.) Vallis Cernaji	3923	9/Juli	8/December$8/Juli	1247	Paris (D.:  Juli 8  und  December 8 ) .	NA	abbatis$confessoris	
Theobaldi (2)	3924	3/October	NA	NA	NA	NA	confessoris	
Theobaldi Viennen	3925	21/Mai	NA	NA	NA	NA	archiepiscopi	
Theobaldi (de Mondovi) ord. min	3926	1/Juni	NA	1150	[Alba] A.S.	NA	beati,beate	
Theobaldi ord. Camald	3927	1/Juni	NA	1050	[Adria, La Badia] D.	NA	NA	
November	3928	:/6	NA	NA	NA	NA	NA	
Theodaldi ord. Ben	3929	31/August	NA	NA	NA	NA	monachi$sancti,sancte	
Theodardi Leodien	3930	10/September	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Theodardi Narbonen	3931	1/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Theodechildis regine	3932	28/Juni	14/Februar	NA	NA	Teclechildis	NA	
Theodechildis (Theclechildis) Jotren	3933	10/October	14/Februar	NA	NA	Teclechildis	abbatis	
Theodemiri	3934	25/Juli	NA	NA	NA	NA	martiris,martirum$monachi	
Theodemiri Miciacen	3935	19/November	NA	NA	NA	NA	abbatis	
Theoderici	3936	29/März	14/Februar	NA	NA	Theuderici, Theuderii	martiris,martirum	
Theoderici Montis Or	3937	1/Juli	14/Februar	NA	NA	Theuderici, Theuderii	abbatis$confessoris	
Theoderici (2)	3938	23/October	14/Februar	NA	NA	Theuderici, Theuderii	presbyteri$martiris,martirum	
Theoderici (Theuderici, Theuderii)	3939	29/October	14/Februar	NA	NA	Theuderici, Theuderii	abbatis$confessoris	
Theoderici Aurelianen	3940	27/Januar	14/Februar	1022	[Langres, Tonnerre] D., (Orléans) A.S.	Theuderici, Theuderii	episcopi,episcoporum	
Theoderici Minden	3941	2/Februar	14/Februar	NA	NA	Theuderici, Theuderii	martiris,martirum$episcopi,episcoporum	
Theoderici Uticen. S. Ebrulfi	3942	1/August	14/Februar	1058	[Lisieux, S. Evroul d'Ouche] D.	Theuderici, Theuderii	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Theoderici Andaginen. (S. Huberti)	3943	24/August	14/Februar$25/August	1087	[Lüttich] A.S., D. (auch  August 25 ) .	Theuderici, Theuderii	abbatis$beati,beate	
Theoderici Metten	3944	7/September	14/Februar	NA	NA	Theuderici, Theuderii	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Theoderici Cameracen	3945	14/October	14/Februar	NA	NA	Theuderici, Theuderii	episcopi,episcoporum	
Theoderici Alemanni ex ord. Carmel	3946	15/October	14/Februar	ca. 1377	[Venedig] A.S.	Theuderici, Theuderii	presbyteri$beati,beate	
Theoderici Monasteriensis	3947	12/December	14/Februar	1515	[Recollecten] M.	Theuderici, Theuderii	confessoris	
Theodogari (Theodegari, Theodgari, Thiudgari)	3948	30/October	14/Februar	NA	NA	Theodegari$Thyudgari	confessoris	
Theodole	3949	26/März	NA	NA	NA	NA	martiris,martirum	
Theodoli (Theodori) Sedunen	3950	16/August	14/Februar	NA	NA	Theoduli$Theodori ep. Sedunen.	episcopi,episcoporum$confessoris	
Theodore	3951	1/April	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Theodore (2)	3952	6/Februar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Theodore matrone	3953	17/September	NA	NA	NA	NA	NA	
Theodori	3954	9/November	NA	NA	NA	NA	martiris,martirum	
Theodori (2)	3955	19/März	NA	NA	NA	NA	pape	
Theodori  (Antiochie)	3956	23/März	NA	NA	NA	NA	presbyteri$martiris,martirum	
Theodori (3)	3957	24/März	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Theodori (4)	3958	21/August	NA	NA	NA	NA	martiris,martirum	
Theodori (5)	3959	19/September	NA	NA	NA	NA	martiris,martirum$confessoris	
Theodori Massilien	3960	2/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Theodori (6)	3961	5/Januar	NA	NA	NA	NA	martiris,martirum	
Theodori Senonen	3962	13/Januar	NA	NA	NA	NA	archiepiscopi	
Theodori ducis	3963	7/Februar	NA	NA	NA	NA	martiris,martirum	
Theodori Mediolanen	3964	28/März	NA	NA	NA	NA	episcopi,episcoporum	
Theodori Puteolen	3965	3/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Theodori Bononien	3966	5/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Theodori (7)	3967	18/Mai	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Theodori Papien	3968	20/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Theodori Lucen	3969	8/August	NA	NA	NA	NA	episcopi,episcoporum	
Theodori Cellen. fundatoris ord. Crucis	3970	17/August	NA	1236	[Lüttich, Hui] D.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte	
Theodori Cantuarien	3971	19/September	NA	NA	NA	NA	archiepiscopi	
Theodori Crulanden	3972	25/September	NA	NA	NA	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis$monachi$martiris,martirum$sociorum,sociis	
Theodori mansionarii	3973	26/December	NA	NA	NA	NA	NA	
Theodosie	3974	7/Februar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Theodosie (2)	3975	1/April	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Theodosie (3)	3976	17/Juli	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Theodosie (4)	3977	22/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Theodosii	3978	2/April	NA	NA	NA	NA	martiris,martirum	
Theodosii Autissiodoren	3979	17/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Theodosii Vasionen	3980	25/October	NA	NA	NA	NA	episcopi,episcoporum	
Theodulfi Bobbien	3981	20/Juni	NA	NA	NA	NA	abbatis	
Theodulfi et Lobbien	3982	24/Juni	NA	NA	NA	NA	abbatis$episcopi,episcoporum	
Theodulfi S. Theodorici in monte Or	3983	1/Mai	NA	NA	NA	NA	abbatis	
Theofredi	3984	18/November	14/Februar	NA	NA	Thietfredi$Theodefridi	martiris,martirum	
Theofredi Albigen	3985	26/Januar	14/Februar	NA	NA	Thietfredi$Theodefridi	episcopi,episcoporum	
Theofredi Ambianen	3986	9/October	14/Februar	NA	NA	Thietfredi$Theodefridi	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Theofredi Calmeliacen. (S. Chaffre)	3987	19/October	14/Februar	NA	NA	Thietfredi$Theodefridi	abbatis$martiris,martirum	
Theognidis	3988	5/Januar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Theonesti (Altinen.)	3989	30/October	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Theonesti	3990	20/November	NA	NA	NA	NA	martiris,martirum	
Theophane	3991	26/Januar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Theophani	3992	9/Juli	NA	NA	NA	NA	confessoris	
Theophili	3993	6/Februar	NA	NA	NA	NA	martiris,martirum	
Theophili Palestine	3994	5/März	NA	NA	NA	NA	episcopi,episcoporum	
Theophili (Antiocheni)	3995	13/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Theophili Brixien	3996	27/April	14/Februar	NA	NA	Bogumili	episcopi,episcoporum	
Theoritgide (Thergite)	3997	26/Januar	14/Februar	NA	NA	Thergite	virginis,virginum_or_(vor_Namen)_venerabilis	
Theotonii canonici regul	3998	18/Februar	NA	vor 1166	[Coimbra] A.S.	NA	presbyteri	
Terentiani Tudertini et Flacci	3999	1/September	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Terentii et Fidentii	4000	27/September	NA	NA	NA	NA	martiris,martirum	
Terentii	4001	28/September	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Terentii Meten	4002	29/October	NA	NA	NA	NA	episcopi,episcoporum	
Terentii Lunen	4003	15/Juli	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Terentii (2)	4004	30/Juli	NA	NA	NA	NA	diaconi$confessoris	
Terentii (3)	4005	24/September	NA	NA	NA	NA	martiris,martirum	
Theresie et Petri (de Belar)	4006	28/Juli	NA	NA	NA	NA	martiris,martirum	
Teresie (a Jesu) ord. Carmelit. discalceat	4007	15/October	27/August	1582	[Avila] A.S.$Percussio cordis  August 27 :  [Carmeliter] D.	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Ternaci	4008	8/August	NA	NA	NA	NA	episcopi,episcoporum	
Ternani	4009	12/Juni	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Ternoci	4010	11/October	NA	NA	NA	NA	episcopi,episcoporum	
Tertulliani Bononien	4011	27/April	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Tertulini	4012	31/Juli	NA	NA	NA	NA	martiris,martirum	
Tertulini (2)	4013	4/August	NA	NA	NA	NA	presbyteri$martiris,martirum	
Thesidii	4014	1/April	NA	NA	NA	NA	martiris,martirum	
Thethmari (Theodemari) ord. August	4015	17/Mai	14/Februar	1152	[Bremen] A.S.	Thietmari$Theodemari	presbyteri$sancti,sancte$beati,beate	
Tetradii Bituricen	4016	16/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Tetrici Lingonen	4017	18/März	NA	NA	NA	NA	episcopi,episcoporum	
Tetrici Autissiodoren	4018	6/October	NA	NA	NA	NA	episcopi,episcoporum	
Tette abbatisse	4019	17/December	NA	NA	NA	NA	NA	
Tethvii	4020	11/Januar	NA	NA	NA	NA	monachi	
Teuterie (Theoterie)	4021	5/Mai	14/Februar	NA	NA	Theoterie	virginis,virginum_or_(vor_Namen)_venerabilis	
Teutille sororis Chrysopoliti	4022	12/Mai	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Teutonis S. Mauri	4023	13/September	NA	ca. 1018	[Cluni] D.	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Thiathildis Freckenhorsten	4024	30/Januar	14/Februar	NA	NA	Theatildis	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Tibbe	4025	13/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Tiberii et Modesti	4026	10/November	NA	NA	NA	NA	martiris,martirum	
Tiburtii, Valeriani et Maximi	4027	14/April	NA	NA	NA	NA	martiris,martirum	
Tiburtii	4028	11/August	NA	NA	NA	NA	martiris,martirum	
Thiemonis Salisburgen	4029	28/September	19/April	1101	[Salzburg] D.$S. Thimonis ( Apr. 19 ) .	NA	archiepiscopi	
Tigernaci Clogheren. (Clonesen.)	4030	5/April	NA	NA	NA	NA	episcopi,episcoporum	
Tigernaci	4031	4/November	NA	NA	NA	NA	abbatis	
Tigridii (Tigridis, Terredii) et Remedii Vapincen	4032	3/Februar	14/Februar	NA	NA	Terredii	episcopi,episcoporum	
Tigridii	4033	16/Februar	14/Februar	NA	NA	Terredii	presbyteri	
Tigrini	4034	11/Februar	NA	NA	NA	NA	martiris,martirum	
Tigris (Tygrie)	4035	25/Juni	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Tillonis Sollemniacen	4036	7/Januar	NA	NA	NA	NA	monachi$confessoris	
Thimonis crucifixi	4037	19/April	NA	NA	NA	NA	diaconi	
Timothei	4038	24/Januar	14/Februar	NA	NA	Marci et Timothei	martiris,martirum$apostoli	
Timothei et Symphoriani	4039	22/August	14/Februar	NA	NA	Symphoriani$Marci et Timothei	martiris,martirum	
Timothei et Apollinaris	4040	23/August	14/Februar	NA	NA	Marci et Timothei	martiris,martirum	
Timothei, Felicis, Zenonis	4041	12/Februar	14/Februar	NA	NA	Marci et Timothei	martiris,martirum	
Timothei (2)	4042	7/April	14/Februar	NA	NA	Marci et Timothei	martiris,martirum	
Timothei (3)	4043	21/Mai	14/Februar	NA	NA	Marci et Timothei	diaconi	
Tinidori (Tenenani) Leonen	4044	16/Juli	14/Februar	NA	NA	Tenenani	episcopi,episcoporum	
Thyrsi	4045	28/Januar	14/Februar	NA	NA	Tirtii	martiris,martirum$sociorum,sociis	
Thyrsi (Saturnini) et Victoris	4046	31/Januar	14/Februar	NA	NA	Tirtii	martiris,martirum	
Treveris	4047	4/October	NA	NA	NA	NA	NA	
Titi	4048	4/Januar	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Titi (2)	4049	16/August	NA	NA	NA	NA	diaconi	
Titiani Opitergini	4050	16/Januar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Titiani Brixien	4051	3/März	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Titiani Lauden	4052	4/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Tobie filii	4053	19/September	NA	NA	NA	NA	NA	
Tole Miden	4054	3/März	NA	NA	NA	NA	episcopi,episcoporum	
Tolomei et Lucii	4055	19/October	NA	NA	NA	NA	martiris,martirum	
Thomaselli ord. predic	4056	17/März	NA	1270	[Perugia] A.S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$confessoris	
